alpha,metric,mean_spearman,mean_kendall,mean_top3,rounds
0.1,cosine_to_global,0.2895527067321271,0.23040022537601323,0.19298245614035087,57
0.1,diversity_alignment,0.00017864912271520455,0.0007366081789119845,0.29239766081871343,57
0.1,dot_product,0.28955076469252766,0.2303914146206956,0.19298245614035087,57
0.1,global_temporal_alignment,0.049413176836747286,0.04357660979575156,0.21052631578947367,57
0.1,grad_norm,0.19700427999215442,0.15067340177580832,0.20555555555555555,60
0.1,magnitude_alignment,0.28955076469252766,0.2303914146206956,0.19298245614035087,57
0.1,temporal_alignment,0.08162058804197375,0.06387501168515167,0.23391812865497075,57
0.1,update_norm,0.21722511102143763,0.17105478722183978,0.18888888888888886,60
0.5,cosine_to_global,0.14879144737172623,0.10730939394202221,0.2807017543859649,57
0.5,diversity_alignment,0.029890024198696446,0.019891851690990142,0.2573099415204678,57
0.5,dot_product,0.1513484602747729,0.10653847760182328,0.28654970760233917,57
0.5,global_temporal_alignment,0.03396409025882393,0.01842931580845096,0.27485380116959063,57
0.5,grad_norm,-0.13854972879113275,-0.09574807055924581,0.36111111111111105,60
0.5,magnitude_alignment,0.1513484602747729,0.10653847760182328,0.28654970760233917,57
0.5,temporal_alignment,0.04628112421440612,0.037931303951682815,0.25146198830409355,57
0.5,update_norm,0.16823808877921165,0.11051266406875013,0.3333333333333333,60
1.0,cosine_to_global,0.19504701279729486,0.14440489754966057,0.21052631578947367,57
1.0,diversity_alignment,0.04197661220250096,0.02955929638311819,0.30409356725146197,57
1.0,dot_product,0.2014291875103812,0.14829472227192578,0.2046783625730994,57
1.0,global_temporal_alignment,-0.05697054307937928,-0.04541938332121553,0.3684210526315789,57
1.0,grad_norm,-0.02755707981938445,-0.015169751156134963,0.3277777777777777,60
1.0,magnitude_alignment,0.2014291875103812,0.14829472227192578,0.2046783625730994,57
1.0,temporal_alignment,0.003882557062171315,0.00613132372017285,0.2982456140350877,57
1.0,update_norm,0.23741583754926646,0.1775296220774364,0.2111111111111111,60
5.0,cosine_to_global,0.05098470903085797,0.038738400474954644,0.28654970760233917,57
5.0,diversity_alignment,0.0045503390435842695,0.0007423162108029172,0.29239766081871343,57
5.0,dot_product,0.052597327094434106,0.037992943838567494,0.28654970760233917,57
5.0,global_temporal_alignment,0.08076329376572793,0.07149153340745439,0.25146198830409355,57
5.0,grad_norm,-0.04454185443889182,-0.027191346395138007,0.36111111111111105,60
5.0,magnitude_alignment,0.052597327094434106,0.037992943838567494,0.28654970760233917,57
5.0,temporal_alignment,0.0833317907505524,0.05579130358009906,0.26900584795321636,57
5.0,update_norm,0.07856344371501671,0.05941304228772231,0.28888888888888886,60
10.0,cosine_to_global,0.022900302233862416,0.009322883511541735,0.27485380116959063,57
10.0,diversity_alignment,0.02084273399709525,0.016584958304781693,0.21637426900584794,57
10.0,dot_product,0.02365850513913626,0.010146664383646465,0.28654970760233917,57
10.0,global_temporal_alignment,0.017350770076782103,0.006444042641801807,0.2982456140350877,57
10.0,grad_norm,-0.13625242586381553,-0.10167374783334951,0.4,60
10.0,magnitude_alignment,0.02365850513913626,0.010146664383646465,0.28654970760233917,57
10.0,temporal_alignment,-0.037756416952644464,-0.023473976180411353,0.30994152046783624,57
10.0,update_norm,-0.01565407111612034,-0.011787743783653755,0.3055555555555555,60
